src,dst,amount,timestamp,is_fraud
vpa_4375,vpa_5814,892.45,1767205880.0,0
vpa_17008,vpa_3843,973.08,1767205970.0,0
vpa_15017,vpa_1953,647.48,1767206051.0,0
vpa_96,vpa_12682,256.74,1767206067.0,0
vpa_6739,vpa_13788,852.88,1767206105.0,0
vpa_10422,vpa_2602,1263.89,1767206181.0,0
vpa_13060,vpa_19225,1995.32,1767206217.0,0
vpa_22835,vpa_24824,1650.52,1767206241.0,0
vpa_1167,vpa_11931,4318.96,1767206365.0,0
vpa_18349,vpa_3390,452.71,1767206415.0,0
vpa_22594,vpa_22408,8687.64,1767206437.0,0
vpa_7437,vpa_14057,3958.41,1767206563.0,0
vpa_10514,vpa_29491,1913.3,1767206656.0,0
vpa_12829,vpa_6810,908.4,1767206668.0,0
vpa_24976,vpa_6689,2260.98,1767206676.0,0
vpa_25355,vpa_23600,1180.17,1767206692.0,0
vpa_6489,vpa_5814,1197.82,1767206842.0,0
vpa_21321,vpa_15139,1837.77,1767206918.0,0
vpa_7441,vpa_24359,800.73,1767206940.0,0
vpa_19924,vpa_12268,693.47,1767206948.0,0
vpa_29568,vpa_2757,285.84,1767206979.0,0
vpa_7515,vpa_10656,27510.53,1767207021.0,1
vpa_18223,vpa_28075,458.1,1767207094.0,0
vpa_26509,vpa_5742,4025.83,1767207193.0,0
vpa_9015,vpa_28419,4947.31,1767207275.0,0
vpa_14555,vpa_14052,1163.24,1767207350.0,0
vpa_28447,vpa_25778,817.95,1767207355.0,0
vpa_19908,vpa_13310,374.0,1767207369.0,0
vpa_3296,vpa_15562,907.73,1767207371.0,0
vpa_4942,vpa_8714,208.89,1767207410.0,0
vpa_21689,vpa_24921,8901.73,1767207478.0,0
vpa_9320,vpa_21480,100.55,1767207541.0,0
vpa_12534,vpa_7945,1807.52,1767207616.0,0
vpa_21479,vpa_6330,1189.48,1767207628.0,0
vpa_16817,vpa_777,1774.92,1767207633.0,0
vpa_15616,vpa_12488,6028.72,1767207694.0,0
vpa_9568,vpa_22851,1591.1,1767207718.0,0
vpa_9203,vpa_12574,4337.59,1767207864.0,0
vpa_10923,vpa_21981,1007.3,1767207908.0,0
vpa_16744,vpa_23256,3026.42,1767208011.0,0
vpa_9358,vpa_814,2488.29,1767208030.0,0
vpa_29815,vpa_20980,2191.71,1767208072.0,0
vpa_10595,vpa_15256,1434.65,1767208114.0,0
vpa_19332,vpa_18264,1520.87,1767208154.0,0
vpa_19629,vpa_13164,1313.86,1767208157.0,0
vpa_23440,vpa_8485,479.6,1767208208.0,0
